RSPO,TERYT,Rural county,Urban county,Rural territory,City,Revenue per person,Website,Start date,Students,Sport venues,German or French,Logopedist,Psychologist,Pedagogue,Participants in English,Avg. score in English
56733,1062011,0,1,0,0,7222.27,1,1990-09-01,420,1,1,0,1,1,25,47
60665,1062011,0,1,0,0,7222.27,1,1967-11-06,458,1,1,1,0,1,44,59
60683,1062011,0,1,0,0,7222.27,1,1984-01-24,949,1,1,0,1,1,73,71
64059,1062011,0,1,0,0,7222.27,1,1962-10-20,669,1,1,1,0,1,69,69
64959,1062011,0,1,0,0,7222.27,1,1930-09-01,378,0,1,0,0,1,54,70
66236,1062011,0,1,0,0,7222.27,0,1965-09-01,675,0,1,0,0,1,75,78
66259,1062011,0,1,0,0,7222.27,1,1889-09-01,297,1,1,0,0,1,32,66
70258,1062011,0,1,0,0,7222.27,1,1960-09-01,449,1,1,0,0,1,58,65
75943,1062011,0,1,0,0,7222.27,1,1984-09-01,930,1,1,0,1,1,127,74
79079,1063011,0,1,0,0,7647.37,1,1974-09-02,276,0,0,1,1,1,17,57
79080,1063011,0,1,0,0,7647.37,1,1974-09-02,897,1,1,0,1,1,85,62
79081,1063011,0,1,0,0,7647.37,1,1991-09-02,892,1,1,1,1,1,97,74
79083,1063011,0,1,0,0,7647.37,1,1991-09-02,238,0,1,0,1,1,22,61
81549,1063011,0,1,0,0,7647.37,1,1977-09-01,962,0,1,1,1,1,98,79
81553,1063011,0,1,0,0,7647.37,1,1995-09-01,861,0,1,1,1,1,95,76
40095,1001011,0,1,0,0,5126.37,1,1983-09-01,717,1,1,1,1,1,68,66
43849,1001011,0,1,0,0,5126.37,1,1945-02-02,953,0,1,1,1,1,80,75
43850,1001011,0,1,0,0,5126.37,1,1965-09-01,476,1,1,0,1,1,35,62
43851,1001011,0,1,0,0,5126.37,1,1958-09-01,750,1,0,1,1,1,78,66
43853,1001011,0,1,0,0,5126.37,1,1968-09-01,265,1,1,0,1,0,24,67
43854,1001011,0,1,0,0,5126.37,1,1990-09-01,549,1,1,1,1,1,62,72
43855,1001011,0,1,0,0,5126.37,1,1990-09-01,716,1,1,1,1,1,68,69
46583,1001011,0,1,0,0,5126.37,1,1987-09-01,590,0,1,1,1,1,75,63
84226,1001022,1,0,0,0,5473.16,0,1996-01-01,261,0,0,1,0,1,18,61
85810,1001022,1,0,0,0,5473.16,1,1996-01-01,119,1,1,1,0,1,12,47
85811,1001022,1,0,0,0,5473.16,0,1996-01-01,200,0,1,0,0,0,14,65
85842,1001022,1,0,0,0,5473.16,0,1996-01-01,191,0,1,0,0,0,15,61
85843,1001022,1,0,0,0,5473.16,0,1996-01-01,124,0,0,1,0,1,10,54
85844,1001022,1,0,0,0,5473.16,1,1996-01-01,105,0,1,0,0,0,14,67
60839,1001032,1,0,0,0,5733.62,1,1937-09-01,126,0,1,0,0,0,17,53
80003,1001032,1,0,0,0,5733.62,1,2009-09-01,190,0,1,0,0,1,19,65
17149,1001042,1,0,0,0,41002.45,1,1967-03-13,484,1,0,1,1,1,61,81
17151,1001042,1,0,0,0,41002.45,1,1954-12-20,269,0,0,1,1,1,14,80
70506,1001052,1,0,0,0,4996.88,0,1992-01-01,94,1,0,1,0,1,12,60
70681,1001052,1,0,0,0,4996.88,1,1992-01-01,185,0,1,0,0,1,16,67
121824,1001062,1,0,0,0,5147.82,0,2003-09-01,155,0,1,0,0,1,23,53
122473,1001062,1,0,0,0,5147.82,1,1980-09-01,258,0,0,1,1,1,29,74
18335,1001072,1,0,0,0,10490.7,1,1938-09-01,724,0,1,1,0,1,71,59
40683,1021011,0,1,0,0,5567.6,1,1999-01-01,471,1,1,1,1,0,67,72
40685,1021011,0,1,0,0,5567.6,1,1999-01-01,477,0,1,0,0,0,57,65
41107,1021022,1,0,0,0,5068.14,1,1990-09-01,157,0,1,0,0,1,12,48
27278,1021032,1,0,0,0,5366.51,1,1973-09-01,154,0,1,1,0,1,11,61
48118,1021032,1,0,0,0,5366.51,1,1999-09-01,295,1,1,1,0,1,44,63
42854,1021042,1,0,0,0,5614.49,1,1919-08-30,279,0,1,1,1,1,27,49
11534,1021052,1,0,0,0,5251.17,0,1925-09-01,328,0,1,0,1,1,36,71
14934,1002022,1,0,0,0,4937.77,1,1936-09-01,89,1,1,1,0,0,15,29
133647,1002022,1,0,0,0,4937.77,1,2017-09-01,128,1,1,1,0,1,12,39
121761,1002032,1,0,0,0,8544.02,0,1975-12-15,163,0,1,1,0,1,23,42
31717,1002011,0,1,0,0,5631.51,1,1934-09-01,270,1,1,0,0,1,17,45
31727,1002011,0,1,0,0,5631.51,1,1937-09-01,473,1,1,1,1,1,69,65
31728,1002011,0,1,0,0,5631.51,1,2008-09-01,158,1,1,1,1,1,15,64
31729,1002011,0,1,0,0,5631.51,1,1929-09-01,261,1,1,1,1,1,31,45
34265,1002011,0,1,0,0,5631.51,1,1983-09-01,778,0,1,1,1,1,94,62
34266,1002011,0,1,0,0,5631.51,1,1921-05-27,899,1,1,1,1,1,106,70
