RSPO,TERYT,Rural county,Urban county,Rural territory,City,Revenue per person,Participants in mathematics,Avg. score in mathematics
56733,1062011,0,1,0,0,7222.27,27,36
60665,1062011,0,1,0,0,7222.27,44,55
60683,1062011,0,1,0,0,7222.27,69,44
64059,1062011,0,1,0,0,7222.27,69,53
64959,1062011,0,1,0,0,7222.27,54,59
66236,1062011,0,1,0,0,7222.27,86,49
66259,1062011,0,1,0,0,7222.27,32,35
70258,1062011,0,1,0,0,7222.27,58,42
75943,1062011,0,1,0,0,7222.27,126,60
79079,1063011,0,1,0,0,7647.37,17,30
79080,1063011,0,1,0,0,7647.37,87,45
79081,1063011,0,1,0,0,7647.37,97,51
79083,1063011,0,1,0,0,7647.37,22,43
81549,1063011,0,1,0,0,7647.37,99,61
81553,1063011,0,1,0,0,7647.37,95,53
40095,1001011,0,1,0,0,5126.37,68,43
43849,1001011,0,1,0,0,5126.37,81,47
43850,1001011,0,1,0,0,5126.37,35,44
43851,1001011,0,1,0,0,5126.37,76,45
43853,1001011,0,1,0,0,5126.37,24,44
43854,1001011,0,1,0,0,5126.37,62,45
43855,1001011,0,1,0,0,5126.37,74,41
46583,1001011,0,1,0,0,5126.37,74,51
84226,1001022,1,0,0,0,5473.16,18,48
85810,1001022,1,0,0,0,5473.16,12,37
85811,1001022,1,0,0,0,5473.16,14,39
85842,1001022,1,0,0,0,5473.16,16,45
85843,1001022,1,0,0,0,5473.16,10,46
85844,1001022,1,0,0,0,5473.16,14,52
262660,1001022,1,0,0,0,5473.16,14,19
60839,1001032,1,0,0,0,5733.62,17,41
80003,1001032,1,0,0,0,5733.62,19,43
17149,1001042,1,0,0,0,41002.45,61,62
17151,1001042,1,0,0,0,41002.45,14,67
70506,1001052,1,0,0,0,4996.88,12,45
70681,1001052,1,0,0,0,4996.88,17,42
121824,1001062,1,0,0,0,5147.82,23,38
122473,1001062,1,0,0,0,5147.82,29,46
18335,1001072,1,0,0,0,10490.7,72,45
40683,1021011,0,1,0,0,5567.6,66,62
40685,1021011,0,1,0,0,5567.6,57,50
41107,1021022,1,0,0,0,5068.14,12,32
27278,1021032,1,0,0,0,5366.51,11,69
48118,1021032,1,0,0,0,5366.51,44,41
42854,1021042,1,0,0,0,5614.49,32,40
11534,1021052,1,0,0,0,5251.17,37,58
14934,1002022,1,0,0,0,4937.77,15,32
133647,1002022,1,0,0,0,4937.77,13,30
121761,1002032,1,0,0,0,8544.02,23,35
31717,1002011,0,1,0,0,5631.51,18,33
31727,1002011,0,1,0,0,5631.51,69,50
31728,1002011,0,1,0,0,5631.51,15,36
31729,1002011,0,1,0,0,5631.51,31,30
34265,1002011,0,1,0,0,5631.51,94,43
34266,1002011,0,1,0,0,5631.51,107,48
263961,1002011,0,1,0,0,5631.51,13,44
73092,1002062,1,0,0,0,5198.0,11,48
74790,1002062,1,0,0,0,5198.0,16,43
80633,1002062,1,0,0,0,5198.0,16,34
41790,1002082,1,0,0,0,5753.06,21,34
11101,1002092,1,0,0,0,5661.01,14,43
12206,1002102,1,0,0,0,7190.02,40,38
63405,1002072,1,0,0,0,5479.65,19,33
16790,1007012,1,0,0,0,5332.36,13,40
16791,1007012,1,0,0,0,5332.36,19,39
16792,1007012,1,0,0,0,5332.36,11,33
16793,1007012,1,0,0,0,5332.36,12,39
23265,1007032,1,0,0,0,5340.59,12,40
23266,1007032,1,0,0,0,5340.59,19,49
134000,1007032,1,0,0,0,5340.59,10,46
90234,1007052,1,0,0,0,7977.95,20,32
90236,1007052,1,0,0,0,7977.95,10,21
90237,1007052,1,0,0,0,7977.95,16,33
85935,1007062,1,0,0,0,5114.68,18,41
47620,1007072,1,0,0,0,5500.8,11,52
51830,1007072,1,0,0,0,5500.8,14,68
51832,1007072,1,0,0,0,5500.8,13,54
262552,1007072,1,0,0,0,5500.8,12,30
14744,1007082,1,0,0,0,5652.07,34,44
25806,1008042,1,0,0,0,5786.53,39,53
25858,1008042,1,0,0,0,5786.53,17,55
29035,1008042,1,0,0,0,5786.53,11,65
69793,1008032,1,0,0,0,5485.73,37,50
48933,1008011,0,1,0,0,5099.58,60,50
83425,1008011,0,1,0,0,5099.58,43,60
83426,1008011,0,1,0,0,5099.58,36,45
37676,1008052,1,0,0,0,7025.11,33,54
38766,1008052,1,0,0,0,7025.11,52,62
47264,1008062,1,0,0,0,5187.05,22,46
59818,1008062,1,0,0,0,5187.05,12,42
111078,1008062,1,0,0,0,5187.05,33,55
57324,1008021,0,1,0,0,4811.88,123,55
57326,1008021,0,1,0,0,4811.88,31,53
57327,1008021,0,1,0,0,4811.88,44,44
57328,1008021,0,1,0,0,4811.88,32,61
57329,1008021,0,1,0,0,4811.88,46,41
57330,1008021,0,1,0,0,4811.88,67,49
57331,1008021,0,1,0,0,4811.88,61,52
57340,1008021,0,1,0,0,4811.88,20,27
30720,1008072,1,0,0,0,6991.18,27,59
30736,1008072,1,0,0,0,6991.18,16,41
39621,1008072,1,0,0,0,6991.18,13,55
