RSPO,TERYT,Rural county,Urban county,Rural territory,City,Revenue per person,Participants in Polish,Avg. score in Polish
56733,1062011,0,1,0,0,7222.27,27,43
60665,1062011,0,1,0,0,7222.27,44,61
60683,1062011,0,1,0,0,7222.27,69,59
64059,1062011,0,1,0,0,7222.27,69,58
64959,1062011,0,1,0,0,7222.27,54,68
66236,1062011,0,1,0,0,7222.27,86,63
66259,1062011,0,1,0,0,7222.27,32,62
70258,1062011,0,1,0,0,7222.27,58,55
75943,1062011,0,1,0,0,7222.27,126,65
79079,1063011,0,1,0,0,7647.37,17,49
79080,1063011,0,1,0,0,7647.37,87,53
79081,1063011,0,1,0,0,7647.37,97,67
79083,1063011,0,1,0,0,7647.37,22,53
81549,1063011,0,1,0,0,7647.37,99,62
81553,1063011,0,1,0,0,7647.37,95,61
40095,1001011,0,1,0,0,5126.37,68,51
43849,1001011,0,1,0,0,5126.37,81,63
43850,1001011,0,1,0,0,5126.37,35,54
43851,1001011,0,1,0,0,5126.37,76,54
43853,1001011,0,1,0,0,5126.37,24,54
43854,1001011,0,1,0,0,5126.37,62,58
43855,1001011,0,1,0,0,5126.37,74,53
46583,1001011,0,1,0,0,5126.37,74,60
84226,1001022,1,0,0,0,5473.16,18,57
85810,1001022,1,0,0,0,5473.16,12,53
85811,1001022,1,0,0,0,5473.16,14,53
85842,1001022,1,0,0,0,5473.16,16,49
85843,1001022,1,0,0,0,5473.16,10,61
85844,1001022,1,0,0,0,5473.16,14,68
262660,1001022,1,0,0,0,5473.16,14,36
60839,1001032,1,0,0,0,5733.62,17,48
80003,1001032,1,0,0,0,5733.62,19,62
17149,1001042,1,0,0,0,41002.45,61,67
17151,1001042,1,0,0,0,41002.45,14,70
70506,1001052,1,0,0,0,4996.88,12,56
70681,1001052,1,0,0,0,4996.88,17,61
121824,1001062,1,0,0,0,5147.82,23,54
122473,1001062,1,0,0,0,5147.82,29,63
18335,1001072,1,0,0,0,10490.7,72,53
40683,1021011,0,1,0,0,5567.6,66,66
40685,1021011,0,1,0,0,5567.6,57,60
41107,1021022,1,0,0,0,5068.14,12,53
27278,1021032,1,0,0,0,5366.51,11,69
48118,1021032,1,0,0,0,5366.51,44,59
42854,1021042,1,0,0,0,5614.49,32,55
11534,1021052,1,0,0,0,5251.17,37,69
14934,1002022,1,0,0,0,4937.77,15,43
133647,1002022,1,0,0,0,4937.77,13,62
121761,1002032,1,0,0,0,8544.02,23,50
31717,1002011,0,1,0,0,5631.51,18,42
31727,1002011,0,1,0,0,5631.51,69,59
31728,1002011,0,1,0,0,5631.51,15,53
31729,1002011,0,1,0,0,5631.51,31,51
34265,1002011,0,1,0,0,5631.51,94,64
34266,1002011,0,1,0,0,5631.51,107,58
263961,1002011,0,1,0,0,5631.51,13,53
73092,1002062,1,0,0,0,5198.0,11,60
74790,1002062,1,0,0,0,5198.0,16,56
80633,1002062,1,0,0,0,5198.0,16,51
41790,1002082,1,0,0,0,5753.06,21,49
11101,1002092,1,0,0,0,5661.01,14,64
12206,1002102,1,0,0,0,7190.02,40,57
63405,1002072,1,0,0,0,5479.65,19,50
