TERYT;Name;Revenue per person
0000000;POLSKA;6502.68
0200000;DOLNOŚLĄSKIE;6461.10
0201000;Powiat bolesławiecki;5454.80
0201011;Bolesławiec (1);5199.18
0201022;Bolesławiec (2);5434.29
0201032;Gromadka (2);7971.48
0201043;Nowogrodziec (3);4941.91
0201052;Osiecznica (2);6437.78
0201062;Warta Bolesławiecka (2);5145.14
0202000;Powiat dzierżoniowski;5102.75
0202011;Bielawa (1);5255.87
0202021;Dzierżoniów (1);4831.60
0202033;Pieszyce (3);4328.94
0202041;Piława Górna (1);5181.64
0202052;Dzierżoniów (2);5267.80
0202062;Łagiewniki (2);5894.56
0202073;Niemcza (3);5801.16
0203000;Powiat głogowski;6329.09
0203011;Głogów (1);5832.63
0203022;Głogów (2);6043.21
0203032;Jerzmanowa (2);11854.23
0203042;Kotla (2);6616.51
0203052;Pęcław (2);5732.01
0203062;Żukowice (2);8050.83
0204000;Powiat górowski;5666.11
0204013;Góra (3);5525.70
0204022;Jemielno (2);6197.43
0204032;Niechlów (2);5859.79
0204043;Wąsosz (3);5703.48
0205000;Powiat jaworski;5769.03
0205011;Jawor (1);5415.57
0205023;Bolków (3);5765.90
0205032;Męcinka (2);7035.73
0205042;Mściwojów (2);5833.68
0205052;Paszowice (2);5732.21
0205062;Wądroże Wielkie (2);6170.38
0206000;Powiat karkonoski;5730.76
0206011;Karpacz (1);8486.22
0206021;Kowary (1);4805.62
0206031;Piechowice (1);5247.40
0206041;Szklarska Poręba (1);7457.53
0206052;Janowice Wielkie (2);5087.89
0206062;Jeżów Sudecki (2);5265.80
0206072;Mysłakowice (2);5185.67
0206082;Podgórzyn (2);5837.40
0206092;Stara Kamienica (2);5708.06
0207000;Powiat kamiennogórski;5118.18
0207011;Kamienna Góra (1);5176.66
0207022;Kamienna Góra (2);5645.78
0207033;Lubawka (3);4574.20
0207042;Marciszów (2);5123.31
0208000;Powiat kłodzki;5448.39
0208011;Duszniki-Zdrój (1);7139.34
0208021;Kłodzko (1);4981.36
0208031;Kudowa-Zdrój (1);5745.98
0208041;Nowa Ruda (1);4657.28
0208051;Polanica-Zdrój (1);7329.85
0208063;Bystrzyca Kłodzka (3);5633.01
0208072;Kłodzko (2);5604.61
0208083;Lądek-Zdrój (3);5967.18
0208092;Lewin Kłodzki (2);7670.97
0208103;Międzylesie (3);5018.57
0208112;Nowa Ruda (2);5486.86
0208123;Radków (3);6461.92
0208133;Stronie Śląskie (3);4331.91
0208143;Szczytna (3);4685.68
0209000;Powiat legnicki;5650.18
0209011;Chojnów (1);4521.56
0209022;Chojnów (2);5901.24
0209032;Krotoszyce (2);6392.68
0209042;Kunice (2);6102.72
0209052;Legnickie Pole (2);7444.39
0209062;Miłkowice (2);5113.91
0209073;Prochowice (3);5752.00
0209082;Ruja (2);5845.09
0210000;Powiat lubański;5180.11
0210011;Lubań (1);4649.48
0210021;Świeradów-Zdrój (1);8406.20
0210033;Leśna (3);4755.60
0210042;Lubań (2);5238.62
0210053;Olszyna (3);5297.00
0210062;Platerówka (2);5567.02
0210072;Siekierczyn (2);5279.63
0211000;Powiat lubiński;6409.84
0211011;Lubin (1);5913.21
0211022;Lubin (2);7490.67
0211032;Rudna (2);9164.89
0211043;Ścinawa (3);6075.35
0212000;Powiat lwówecki;4985.73
0212013;Gryfów Śląski (3);4367.77
0212023;Lubomierz (3);5663.40
0212033;Lwówek Śląski (3);4501.27
0212043;Mirsk (3);5285.89
0212053;Wleń (3);6765.40
0213000;Powiat milicki;5812.81
0213012;Cieszków (2);5537.40
0213022;Krośnice (2);6019.73
0213033;Milicz (3);5796.50
0214000;Powiat oleśnicki;5408.16
0214011;Oleśnica (1);5141.49
0214023;Bierutów (3);4950.01
0214032;Dobroszyce (2);7625.71
0214042;Dziadowa Kłoda (2);5846.16
0214053;Międzybórz (3);5477.42
0214062;Oleśnica (2);5828.09
0214073;Syców (3);5013.94
0214083;Twardogóra (3);5226.07
0215000;Powiat oławski;5803.30
0215011;Oława (1);5172.48
0215022;Domaniów (2);6499.15
0215033;Jelcz-Laskowice (3);5867.92
0215042;Oława (2);6844.50
0216000;Powiat polkowicki;7866.23
0216013;Chocianów (3);4612.10
0216022;Gaworzyce (2);6161.47
0216032;Grębocice (2);10545.90
0216043;Polkowice (3);10020.15
0216053;Przemków (3);4932.55
0216062;Radwanice (2);7566.41
0217000;Powiat strzeliński;5322.23
0217012;Borów (2);4996.83
0217022;Kondratowice (2);5277.58
0217032;Przeworno (2);4577.55
0217043;Strzelin (3);5455.74
0217053;Wiązów (3);5671.24
0218000;Powiat średzki;6080.61
0218012;Kostomłoty (2);5818.05
0218022;Malczyce (2);4794.05
0218032;Miękinia (2);6536.95
0218043;Środa Śląska (3);6038.59
0218052;Udanin (2);6560.77
0219000;Powiat świdnicki;5502.82
0219011;Świdnica (1);5174.90
0219021;Świebodzice (1);4989.56
0219032;Dobromierz (2);7618.62
0219043;Jaworzyna Śląska (3);5866.63
0219052;Marcinowice (2);6450.96
0219063;Strzegom (3);5555.66
0219072;Świdnica (2);5794.29
0219083;Żarów (3);5736.36
0220000;Powiat trzebnicki;5756.99
0220013;Oborniki Śląskie (3);5426.69
0220023;Prusice (3);6401.90
0220033;Trzebnica (3);5566.09
0220042;Wisznia Mała (2);6467.88
0220052;Zawonia (2);6749.50
0220063;Żmigród (3);5204.07
0221000;Powiat wałbrzyski;5883.20
0221011;Boguszów-Gorce (1);5103.93
0221021;Jedlina-Zdrój (1);5320.08
0221031;Szczawno-Zdrój (1);6890.76
0221042;Czarny Bór (2);7718.65
0221053;Głuszyca (3);5526.02
0221063;Mieroszów (3);6686.15
0221072;Stare Bogaczowice (2);5185.34
0221082;Walim (2);6019.61
0222000;Powiat wołowski;5576.07
0222013;Brzeg Dolny (3);5945.30
0222022;Wińsko (2);5626.05
0222033;Wołów (3);5292.24
0223000;Powiat wrocławski;7881.04
0223012;Czernica (2);6947.32
0223022;Długołęka (2);6914.43
0223032;Jordanów Śląski (2);5691.60
0223043;Kąty Wrocławskie (3);7669.53
0223052;Kobierzyce (2);12963.74
0223062;Mietków (2);5909.99
0223073;Sobótka (3);6087.84
