RSPO,Kod teryt gminy,Typ gminy,"liczba
zdających","wynik
średni (%)","liczba
zdających.1","wynik
średni (%).1","liczba
zdających.2","wynik
średni (%).2"
56733,1062011,Gmina miejska,27.0,43.0,27.0,36.0,25.0,47.0
60665,1062011,Gmina miejska,44.0,61.0,44.0,55.0,44.0,59.0
60683,1062011,Gmina miejska,69.0,59.0,69.0,44.0,73.0,71.0
64059,1062011,Gmina miejska,69.0,58.0,69.0,53.0,69.0,69.0
64959,1062011,Gmina miejska,54.0,68.0,54.0,59.0,54.0,70.0
66236,1062011,Gmina miejska,86.0,63.0,86.0,49.0,75.0,78.0
66259,1062011,Gmina miejska,32.0,62.0,32.0,35.0,32.0,66.0
70258,1062011,Gmina miejska,58.0,55.0,58.0,42.0,58.0,65.0
75943,1062011,Gmina miejska,126.0,65.0,126.0,60.0,127.0,74.0
79079,1063011,Gmina miejska,17.0,49.0,17.0,30.0,17.0,57.0
79080,1063011,Gmina miejska,87.0,53.0,87.0,45.0,85.0,62.0
79081,1063011,Gmina miejska,97.0,67.0,97.0,51.0,97.0,74.0
79083,1063011,Gmina miejska,22.0,53.0,22.0,43.0,22.0,61.0
81549,1063011,Gmina miejska,99.0,62.0,99.0,61.0,98.0,79.0
81553,1063011,Gmina miejska,95.0,61.0,95.0,53.0,95.0,76.0
40095,1001011,Gmina miejska,68.0,51.0,68.0,43.0,68.0,66.0
43849,1001011,Gmina miejska,81.0,63.0,81.0,47.0,80.0,75.0
43850,1001011,Gmina miejska,35.0,54.0,35.0,44.0,35.0,62.0
43851,1001011,Gmina miejska,76.0,54.0,76.0,45.0,78.0,66.0
43853,1001011,Gmina miejska,24.0,54.0,24.0,44.0,24.0,67.0
43854,1001011,Gmina miejska,62.0,58.0,62.0,45.0,62.0,72.0
43855,1001011,Gmina miejska,74.0,53.0,74.0,41.0,68.0,69.0
46583,1001011,Gmina miejska,74.0,60.0,74.0,51.0,75.0,63.0
84226,1001022,Gmina wiejska,18.0,57.0,18.0,48.0,18.0,61.0
85810,1001022,Gmina wiejska,12.0,53.0,12.0,37.0,12.0,47.0
85811,1001022,Gmina wiejska,14.0,53.0,14.0,39.0,14.0,65.0
85842,1001022,Gmina wiejska,16.0,49.0,16.0,45.0,15.0,61.0
85843,1001022,Gmina wiejska,10.0,61.0,10.0,46.0,10.0,54.0
85844,1001022,Gmina wiejska,14.0,68.0,14.0,52.0,14.0,67.0
262660,1001022,Gmina wiejska,14.0,36.0,14.0,19.0,12.0,38.0
60839,1001032,Gmina wiejska,17.0,48.0,17.0,41.0,17.0,53.0
80003,1001032,Gmina wiejska,19.0,62.0,19.0,43.0,19.0,65.0
262248,1001032,Gmina wiejska,8.0,,8.0,,8.0,
17149,1001042,Gmina wiejska,61.0,67.0,61.0,62.0,61.0,81.0
17151,1001042,Gmina wiejska,14.0,70.0,14.0,67.0,14.0,80.0
70506,1001052,Gmina wiejska,12.0,56.0,12.0,45.0,12.0,60.0
70549,1001052,Gmina wiejska,9.0,,9.0,,9.0,
70681,1001052,Gmina wiejska,17.0,61.0,17.0,42.0,16.0,67.0
121824,1001062,Gmina wiejska,23.0,54.0,23.0,38.0,23.0,53.0
122473,1001062,Gmina wiejska,29.0,63.0,29.0,46.0,29.0,74.0
18335,1001072,Gmina wiejska,72.0,53.0,72.0,45.0,71.0,59.0
18745,1001072,Gmina wiejska,9.0,,9.0,,9.0,
18838,1001072,Gmina wiejska,6.0,,6.0,,6.0,
19080,1001072,Gmina wiejska,1.0,,1.0,,1.0,
35208,1001084,Miasto,33.0,47.0,33.0,41.0,33.0,57.0
38999,1001084,Miasto,49.0,60.0,49.0,43.0,49.0,60.0
262533,1001084,Miasto,16.0,55.0,16.0,36.0,16.0,62.0
39746,1001085,Obszar wiejski,19.0,48.0,19.0,36.0,19.0,41.0
39747,1001085,Obszar wiejski,13.0,52.0,13.0,26.0,13.0,54.0
133953,1001085,Obszar wiejski,7.0,,7.0,,7.0,
40683,1021011,Gmina miejska,66.0,66.0,66.0,62.0,67.0,72.0
40685,1021011,Gmina miejska,57.0,60.0,57.0,50.0,57.0,65.0
41105,1021022,Gmina wiejska,4.0,,4.0,,4.0,
41106,1021022,Gmina wiejska,8.0,,8.0,,8.0,
41107,1021022,Gmina wiejska,12.0,53.0,12.0,32.0,12.0,48.0
27278,1021032,Gmina wiejska,11.0,69.0,11.0,69.0,11.0,61.0
48118,1021032,Gmina wiejska,44.0,59.0,44.0,41.0,44.0,63.0
42854,1021042,Gmina wiejska,32.0,55.0,32.0,40.0,27.0,49.0
11534,1021052,Gmina wiejska,37.0,69.0,37.0,58.0,36.0,71.0
15928,1021052,Gmina wiejska,6.0,,6.0,,6.0,
14934,1002022,Gmina wiejska,15.0,43.0,15.0,32.0,15.0,29.0
14954,1002022,Gmina wiejska,4.0,,4.0,,4.0,
14973,1002022,Gmina wiejska,7.0,,7.0,,7.0,
14997,1002022,Gmina wiejska,7.0,,7.0,,7.0,
133647,1002022,Gmina wiejska,13.0,62.0,13.0,30.0,12.0,39.0
121761,1002032,Gmina wiejska,23.0,50.0,23.0,35.0,23.0,42.0
16820,1002044,Miasto,53.0,54.0,53.0,35.0,53.0,58.0
17041,1002045,Obszar wiejski,18.0,55.0,18.0,30.0,18.0,55.0
4775,1002052,Gmina wiejska,8.0,,8.0,,8.0,
59552,1002052,Gmina wiejska,4.0,,4.0,,4.0,
59561,1002052,Gmina wiejska,6.0,,6.0,,6.0,
31717,1002011,Gmina miejska,18.0,42.0,18.0,33.0,17.0,45.0
31727,1002011,Gmina miejska,69.0,59.0,69.0,50.0,69.0,65.0
31728,1002011,Gmina miejska,15.0,53.0,15.0,36.0,15.0,64.0
31729,1002011,Gmina miejska,31.0,51.0,31.0,30.0,31.0,45.0
34265,1002011,Gmina miejska,94.0,64.0,94.0,43.0,94.0,62.0
34266,1002011,Gmina miejska,107.0,58.0,107.0,48.0,106.0,70.0
263961,1002011,Gmina miejska,13.0,53.0,13.0,44.0,13.0,52.0
72356,1002062,Gmina wiejska,7.0,,7.0,,7.0,
73092,1002062,Gmina wiejska,11.0,60.0,11.0,48.0,11.0,59.0
74790,1002062,Gmina wiejska,16.0,56.0,16.0,43.0,1.0,
80633,1002062,Gmina wiejska,16.0,51.0,16.0,34.0,7.0,
89282,1002062,Gmina wiejska,6.0,,6.0,,3.0,
41790,1002082,Gmina wiejska,21.0,49.0,21.0,34.0,21.0,48.0
41791,1002082,Gmina wiejska,8.0,,8.0,,8.0,
11101,1002092,Gmina wiejska,14.0,64.0,14.0,43.0,14.0,40.0
11118,1002092,Gmina wiejska,6.0,,6.0,,6.0,
12206,1002102,Gmina wiejska,40.0,57.0,40.0,38.0,40.0,47.0
63405,1002072,Gmina wiejska,19.0,50.0,19.0,33.0,19.0,46.0
