,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
8,Dolnośląskie,Bolesławiecki,Bolesławiec,Gmina miejska,0201011,34556,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 3 IM. ARMII KRAJOWEJ W BOLESŁAWCU,Bolesławiec,ul. Ceramiczna 5,29,58,16,58,49,29,43,24,36,28,19,63,28,73,42,,,,,,,,,,,10,56,24,55,22,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Bolesławiec,Gmina miejska,0201011,34554,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 IM. JANA MATEJKI W BOLESŁAWCU,Bolesławiec,ul. Mikołaja Brody 12,108,58,17,60,49,108,44,25,40,20,93,66,28,76,95,,,,,,,,,,,16,67,25,81,84,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Bolesławiec,Gmina miejska,0201011,34518,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 5 IM. ALEKSANDRA JANOWSKIEGO W BOLESŁAWCU,Bolesławiec,ul. Dolne Młyny 60,41,60,19,64,67,41,48,26,40,16,23,71,22,71,60,,,,,,,,,,,18,60,30,64,13,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Bolesławiec,Gmina miejska,0201011,111598,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA ZAKONU PIJARÓW IM. KS. STANISŁAWA KONARSKIEGO W BOLESŁAWCU,Bolesławiec,ul. Bankowa 10,22,66,18,67,60,22,62,25,66,28,22,83,17,92,95,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Bolesławiec,Gmina miejska,0201011,31229,dla młodzieży,Nie,"PRYWATNA SZKOŁA PODSTAWOWA ""OXPRESS"" W BOLESŁAWCU",Bolesławiec,ul. Heleny i Wincentego Tyrankiewiczów 22,31,58,13,60,60,31,61,24,64,76,31,85,20,95,98,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Bolesławiec,Gmina miejska,0201011,38803,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 1 IM. JANUSZA KUSOCIŃSKIEGO W BOLESŁAWCU,Bolesławiec,ul. Jana Pawła II 38c,58,61,20,67,71,58,46,22,46,24,53,76,28,89,100,,,,,,,,,,,6,,,,,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Bolesławiec,Gmina miejska,0201011,38801,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 2 W BOLESŁAWCU,Bolesławiec,ul. Juliusza Słowackiego 2,37,53,18,53,38,37,34,21,28,24,21,49,30,31,22,,,,,,,,,,,16,40,19,38,18,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Bolesławiec,Gmina wiejska,0201022,20645,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W BOŻEJOWICACH,Bożejowice,1,9,,,,,9,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Bolesławiec,Gmina wiejska,0201022,20750,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W BRZEŹNIKU,Brzeźnik,67,9,,,,,9,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Bolesławiec,Gmina wiejska,0201022,20961,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W DĄBROWIE BOLESŁAWIECKIEJ,Dąbrowa Bolesławiecka,43,5,,,,,5,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Bolesławiec,Gmina wiejska,0201022,20889,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W KRAŚNIKU DOLNYM,Kraśnik Dolny,45,19,58,14,58,42,19,41,24,36,12,10,68,20,70,,,,,,,,,,,,9,,,,,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Bolesławiec,Gmina wiejska,0201022,20932,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W KRUSZYNIE,Kruszyn,ul. Kasztanowa 1,16,61,14,64,64,16,43,25,38,16,17,48,25,58,15,,,,,,,,,,,1,,,,,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Bolesławiec,Gmina wiejska,0201022,20936,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JERZEGO KUKUCZKI W OCICACH,Ocice,55,7,,,,,7,,,,,3,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Bolesławiec,Gmina wiejska,0201022,22209,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W TRZEBIENIU,Trzebień,ul. Leśna 9,10,56,12,57,42,10,28,6,28,28,7,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Bolesławiec,Gmina wiejska,0201022,20957,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JANA BRZECHWY W ŻELISZOWIE,Żeliszów,102,7,,,,,7,,,,,5,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Gromadka,Gmina wiejska,0201032,88722,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W GROMADCE,Gromadka,ul. gen. Wł. Sikorskiego 19,44,45,21,49,20,44,32,20,26,16,35,54,28,62,24,,,,,,,,,,,8,,,,,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Nowogrodziec,Miasto,0201044,49586,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. BOLESŁAWA CHROBREGO W NOWOGRODŹCU,Nowogrodziec,ul. Henryka Sienkiewicza 7-8,52,55,19,57,51,52,52,24,52,52,39,62,27,71,29,,,,,,,,,,,13,35,22,27,16,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Nowogrodziec,Obszar wiejski,0201045,60830,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. GÓRNIKÓW SUROWCÓW MINERALNYCH W CZERNEJ,Czerna,52,13,53,12,53,53,12,44,21,38,32,12,61,30,59,95,,,,,,,,,,,,,,,,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Nowogrodziec,Obszar wiejski,0201045,74366,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W GIERAŁTOWIE,Gierałtów,47,12,41,14,39,36,12,28,16,26,12,6,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Nowogrodziec,Obszar wiejski,0201045,74360,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W GOŚCISZOWIE,Gościszów,152,19,57,18,53,47,19,39,21,36,32,10,58,27,66,,,,,,,,,,,,9,,,,,,,,,,,,,,
8,Dolnośląskie,Bolesławiecki,Nowogrodziec,Obszar wiejski,0201045,61297,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. TADEUSZA KOŚCIUSZKI W WYKROTACH,Wykroty,ul. Główna 108,16,56,22,58,56,16,38,24,26,20,17,63,28,62,91,,,,,,,,,,,,,,,,,,,,,,,,,
