,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,5124,dla młodzieży,Nie,MIĘDZYNARODOWA SZKOŁA PODSTAWOWA SOKRATES W BYDGOSZCZY,Bydgoszcz,ul. Jana Henryka Dąbrowskiego 8,29,64,22,71,78,29,42,22,36,28,33,88,17,96,98,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,6370,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 2 IM. ADAMA MICKIEWICZA Z ODDZIAŁAMI SPORTOWYMI,Bydgoszcz,ul. Hetmańska 34,48,46,18,46,42,48,33,23,24,20,51,52,30,49,18,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,7847,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 15 IM. TERESY CIEPŁY Z ODDZIAŁAMI MISTRZOSTWA SPORTOWEGO W BYDGOSZCZY,Bydgoszcz,ul. Czerkaska 8,94,67,17,69,67,94,49,22,44,40,92,73,26,84,96,,,,,,,,,,,1,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,9592,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 1 W BYDGOSZCZY,Bydgoszcz,ul. Józefa Dwernickiego 10,18,71,17,73,73,18,70,23,80,80,18,95,6,98,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,9918,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 IM. MJRA HENRYKA SUCHARSKIEGO Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY,Bydgoszcz,ul. Wyzwolenia 4,57,67,17,69,73,57,51,23,48,28,57,66,30,71,96,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,9919,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 9 IM. WŁAYSŁAWA JAGIEŁŁY W BYDGOSZCZY,Bydgoszcz,ul. gen. Tadeusza Bora-Komorowskiego 2,51,62,17,64,69,51,46,22,44,24,50,76,25,86,93,,,,,,,,,,,1,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,9920,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 10 IM. JANA KOCHANOWSKIEGO Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY,Bydgoszcz,ul. Śląska 7,29,45,19,47,56,29,31,23,20,16,30,54,29,42,93,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,10937,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 14 IM. GEN. WŁADYSŁAWA SIKORSKIEGO W BYDGOSZCZY,Bydgoszcz,ul. Żmudzka 12,47,60,18,62,67,47,55,29,60,24,45,73,29,89,100,,,,,,,,,,,2,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,10938,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 20 IM.KS.PRYMASA STEFANA KAR.WYSZYŃSKIEGO Z ODDZIAŁAMI INTEGRACYJNYMI W BYDGOSZCZY,Bydgoszcz,ul. Grabowa 4,59,69,15,69,69,59,51,27,52,36,61,81,24,91,100,,,,,,,,,,,,,,,,,,,,,,,,,
