,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
3,Lubelskie,Biała Podlaska,Biała Podlaska,Gmina miejska,0661011,4976,dla młodzieży,Nie,SPOŁECZNA SZKOŁA PODSTAWOWA IM. HENRYKA SIENKIEWICZA,Biała Podlaska,ul. Mariana Langiewicza 44,15,61,13,62,51,15,49,23,44,44,12,73,22,80,44,,,,,,,,,,,,,,,,3,,,,,,,,,
3,Lubelskie,Biała Podlaska,Biała Podlaska,Gmina miejska,0661011,32043,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 9 IM. ŚWIĘTEJ JADWIGI KRÓLOWEJ,Biała Podlaska,ul. Zygmunta Augusta 2,145,63,17,62,58,145,57,26,56,96,143,72,26,80,98,,,,,,,,,,,1,,,,,1,,,,,,,,,
3,Lubelskie,Biała Podlaska,Biała Podlaska,Gmina miejska,0661011,32049,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 3 IM. MARII KONOPNICKIEJ,Biała Podlaska,ul. Sportowa 7,92,61,19,67,67,92,39,22,36,28,92,62,29,69,98,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Biała Podlaska,Biała Podlaska,Gmina miejska,0661011,32051,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 2 IM. BOHATERSKICH LOTNIKÓW PODLASIA,Biała Podlaska,ul. Akademicka 8,82,68,14,69,76,82,52,27,56,60,82,75,24,83,96,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Biała Podlaska,Biała Podlaska,Gmina miejska,0661011,34685,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 IM. KORNELA MAKUSZYŃSKIEGO W BIAŁEJ PODLASKIEJ,Biała Podlaska,ul. Stanisława Moniuszki 36,30,53,17,57,58,30,56,28,60,60,29,61,32,67,96,,,,,,,,,,,,,,,,1,,,,,,,,,
3,Lubelskie,Biała Podlaska,Biała Podlaska,Gmina miejska,0661011,60996,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 1 IM. KS. STANISŁAWA BRZÓSKI,Biała Podlaska,ul. Gabriela Narutowicza 41,28,63,16,64,60,28,54,22,56,68,28,67,26,72,25,,,,,,,,,,,,,,,,1,,,,,,,,,
3,Lubelskie,Biała Podlaska,Biała Podlaska,Gmina miejska,0661011,61000,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 6,Biała Podlaska,ul. Leszczynowa 16,75,56,17,56,44,75,41,25,32,32,75,59,30,64,20,,,,,,,,,,,,,,,,2,,,,,,,,,
3,Lubelskie,Biała Podlaska,Biała Podlaska,Gmina miejska,0661011,61025,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 5 IM. JANA KOCHANOWSKIEGO,Biała Podlaska,ul. Sidorska 30,87,57,21,58,58,87,42,26,36,16,82,68,29,80,100,,,,,,,,,,,1,,,,,4,,,,,,,,,
3,Lubelskie,Biała Podlaska,Biała Podlaska,Gmina miejska,0661011,132321,dla młodzieży,Nie,KATOLICKA SZKOŁA PODSTAWOWA IM. CYPRIANA NORWIDA,Biała Podlaska,ul. kard. Stefana Wyszyńskiego 53/55,24,72,10,77,78,24,72,13,72,84,23,83,19,89,89,,,,,,,,,,,,,,,,1,,,,,,,,,
3,Lubelskie,Chełm,Chełm,Gmina miejska,0662011,11574,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 Z ODDZIAŁAMI INTEGRACYJNYMI IM. KARDYNAŁA STEFANA WYSZYŃSKIEGO W CHEŁMIE,Chełm,ul. Prymasa Stefana Wyszyńskiego 15,42,64,12,62,62,42,53,22,58,68,41,78,25,89,95,,,,,,,,,,,,,,,,1,,,,,,,,,
3,Lubelskie,Chełm,Chełm,Gmina miejska,0662011,11575,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 5 IM. MARII KONOPNICKIEJ W CHEŁMIE,Chełm,ul. I Pułku Szwoleżerów 1,73,68,16,71,71,73,52,24,48,40,73,77,22,85,98,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Chełm,Chełm,Gmina miejska,0662011,14175,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 2 IM. KS. STANISŁAWA STASZICA W CHEŁMIE,Chełm,ul. Obłońska 51,36,62,14,60,51,36,40,17,40,44,33,59,30,67,20,,,,,,,,,,,2,,,,,,,,,,1,,,,
3,Lubelskie,Chełm,Chełm,Gmina miejska,0662011,15066,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 11 IM. IRENY SENDLEROWEJ W CHEŁMIE,Chełm,ul. Powstańców Warszawy 10,80,60,18,60,71,80,51,24,52,16,79,70,28,84,93,,,,,,,,,,,,,,,,1,,,,,,,,,
3,Lubelskie,Chełm,Chełm,Gmina miejska,0662011,16927,dla młodzieży,Nie,PIERWSZA SPOŁECZNA SZKOŁA PODSTAWOWA W CHEŁMIE,Chełm,ul. Hrubieszowska 102,10,70,15,73,53,10,62,27,66,32,10,85,24,96,100,,,,,,,,,,,,,,,,,,,,,,,,,
