,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
6,Lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,Gmina miejska,0861011,68539,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 9 IM. JANA KOCHANOWSKIEGO W GORZOWIE WLKP.,Gorzów Wielkopolski,ul. Nowa 7,71,60,19,62,73,71,42,25,32,24,55,69,28,76,98,,,,,,,,,,,16,48,23,45,20,,,,,
6,Lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,Gmina miejska,0861011,68540,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 1 IM. MARII KONOPNICKIEJ W GORZOWIE WLKP.,Gorzów Wielkopolski,ul. gen. Jarosława Dąbrowskiego 23,73,49,21,49,64,73,31,20,24,16,77,52,31,47,16,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,Gmina miejska,0861011,68541,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 15 IM. WOJSKA POLSKIEGO W GORZOWIE WLKP.,Gorzów Wielkopolski,ul. Aleksandra Kotsisa 1,85,65,15,67,71,85,53,24,48,44,84,73,27,85,100,,,,,,,,,,,1,,,,,,,,,
6,Lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,Gmina miejska,0861011,68542,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 10 Z ODDZIAŁAMI INTEGRACYJNYMI IM. TADEUSZA KOSCIUSZKI W GORZOWIE WLKP.,Gorzów Wielkopolski,ul. Towarowa 21,79,53,19,56,58,79,32,18,28,16,80,58,28,62,80,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,Gmina miejska,0861011,68543,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 12 IM. KORNELA MAKUSZYŃSKIEGO W GORZOWIE WLKP.,Gorzów Wielkopolski,ul. Dobra 16,23,59,16,60,60,23,50,23,48,28,22,72,26,83,67,,,,,,,,,,,1,,,,,,,,,
6,Lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,Gmina miejska,0861011,68544,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 IM. HENRYKA SIENKIEWICZA W GORZOWIE WLKP.,Gorzów Wielkopolski,ul. Kobylogórska 110,71,65,15,67,67,71,49,27,40,28,71,71,27,84,96,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,Gmina miejska,0861011,71142,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 5 IM. BOHATERÓW 12 KOŁOBRZESKIEGO PUŁKU PIECHOTY W GORZOWIE WLKP.,Gorzów Wielkopolski,al. Aleja Konstytucji 3 Maja 44,47,53,19,58,62,47,42,22,36,24,46,61,30,63,49,,,,,,,,,,,2,,,,,,,,,
6,Lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,Gmina miejska,0861011,79847,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 20 Z ODDZIAŁAMI INTEGRACYJNYMI IM. BOHATERÓW WESTERPLATTE W GORZOWIE WLKP.,Gorzów Wielkopolski,ul. Szarych Szeregów 7,169,61,17,62,60,169,48,25,44,36,171,69,27,76,96,1,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,Gmina miejska,0861011,80867,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 6 Z ODDZIAŁAMI SPORTOWYMI IM. WŁADYSŁAWA BRONIEWSKIEGO W GORZOWIE WLKP.,Gorzów Wielkopolski,ul. Gwiaździsta 14,32,58,10,60,58,32,47,17,48,48,33,54,25,60,24,,,,,,,,,,,,,,,,,,,,
