,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
7,Mazowieckie,Ostrołęka,Ostrołęka,Gmina miejska,1461011,27152,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 5 IM. ZOFII NIEDZIAŁKOWSKIEJ W OSTROŁĘCE,Ostrołęka,ul. gen. Józefa Hallera 12,48,52,20,56,62,48,43,25,38,56,50,58,31,47,95,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Ostrołęka,Ostrołęka,Gmina miejska,1461011,27351,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 6 IM. ORŁA BIAŁEGO W OSTROŁĘCE,Ostrołęka,ul. Henryka Sienkiewicza 15,84,51,20,53,47,84,43,26,38,20,83,64,31,75,100,,,,,,,,,,,1,,,,,,,,,,,,,,
7,Mazowieckie,Ostrołęka,Ostrołęka,Gmina miejska,1461011,27789,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 10 IM. JANA PAWŁA II W OSTROŁĘCE,Ostrołęka,ul. Ks. Franciszka Blachnickiego 16,131,65,18,69,71,131,49,24,48,68,132,78,24,90,96,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Ostrołęka,Ostrołęka,Gmina miejska,1461011,44013,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 1 IM. STANISŁAWA JACHOWICZA,Ostrołęka,"ul. Gen. Augusta Emila Fieldorfa ""Nila"" 4/6",91,61,19,62,62,91,52,25,48,20,91,74,26,84,100,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Ostrołęka,Ostrołęka,Gmina miejska,1461011,44015,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 2 IM. STANISŁAWA STASZICA W OSTROŁĘCE,Ostrołęka,ul. Papiernicza 1,66,59,20,62,62,66,44,26,44,16,64,66,28,70,100,,,,,,,,,,,2,,,,,,,,,,,,,,
7,Mazowieckie,Ostrołęka,Ostrołęka,Gmina miejska,1461011,62601,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 W OSTROŁĘCE,Ostrołęka,ul. Legionowa 17,20,51,12,48,44,20,26,12,24,24,20,54,29,49,31,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Ostrołęka,Ostrołęka,Gmina miejska,1461011,66148,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 3 IM. ADAMA MICKIEWICZA W OSTROŁĘCE,Ostrołęka,ul. Ignacego Jerzego Skowrońskiego 8,37,63,20,71,71,36,49,24,44,48,34,77,24,85,100,,,,,,,,,,,2,,,,,,,,,,,,,,
7,Mazowieckie,Ostrołęka,Ostrołęka,Gmina miejska,1461011,106238,dla młodzieży,Nie,SPOŁECZNA SZKOŁA PODSTAWOWA SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO,Ostrołęka,ul. Koszarowa 3,15,70,16,73,67,15,63,24,64,28,15,93,19,98,100,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Płock,Płock,Gmina miejska,1462011,15794,dla młodzieży,Nie,"NIEPUBLICZNA SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI ""COGITO"" IM. WISŁAWY SZYMBORSKIEJ",Płock,ul. Żyzna 21A,14,69,13,72,71,14,50,31,56,24,14,80,23,90,95,,,,,,,,,,,,,,,,,,,,,,,,,
