,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,7213,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 1 IM. ADAMA MICKIEWICZA W ELBLĄGU,Elbląg,ul. Ignacego Daszyńskiego 1,82,61,17,62,62,82,46,26,42,16,81,72,27,80,98,,,,,,,,,,,1,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,9616,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 8 IM. STANISŁAWA STASZICA W ELBLĄGU,Elbląg,ul. Szańcowa 2,19,54,15,62,62,19,39,23,40,24,19,54,31,40,20,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,13249,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 11 IM. KORNELA MAKUSZYŃSKIEGO W ELBLĄGU,Elbląg,ul. Janusza Korczaka 34,75,61,13,62,62,75,55,23,52,40,75,70,26,73,96,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,15130,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 IM. HENRYKA SIENKIEWICZA W ELBLĄGU,Elbląg,ul. Adama Mickiewicza 41,42,54,15,52,51,42,33,21,28,20,42,52,31,46,20,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,15198,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 14 IM. JANA BRZECHWY W ELBLĄGU,Elbląg,ul. Romualda Mielczarskiego 45,29,61,17,62,51,29,37,22,28,20,28,66,30,78,95,,,,,,,,,,,1,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,15385,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 15 IM. ARMII KRAJOWEJ W ELBLĄGU,Elbląg,ul. Modlińska 39,37,61,19,64,64,37,61,26,64,64,37,78,24,87,98,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,15434,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 21 IM. MIKOŁAJA KOPERNIKA W ELBLĄGU,Elbląg,ul. Zbyszka Godlewskiego 1,101,64,17,69,69,96,52,25,52,84,100,75,26,86,98,,,,,,,,,,,1,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,18341,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 6 IM. MARII SKŁODOWSKIEJ CURIE W ELBLĄGU,Elbląg,al.  Aleja Józefa Piłsudskiego 4,43,58,16,62,44,43,55,23,56,60,42,73,28,87,100,,,,,,,,,,,1,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,18934,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 12 IM. MICHAŁA KAJKI W ELBLĄGU,Elbląg,ul. Wojciecha Zajchowskiego 12,105,62,17,64,67,105,50,26,48,48,101,72,26,80,100,,,,,,,,,,,2,,,,,3,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,18967,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 16 IM. JÓZEFA WYBICKIEGO W ELBLĄGU,Elbląg,ul. Sadowa 2,60,60,17,62,58,60,55,27,50,28,60,71,28,85,98,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,22400,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 9 IM. JÓZEFA PIŁSUDSKIEGO W ELBLĄGU,Elbląg,ul. Józefa Wybickiego 20,36,56,17,56,51,36,39,20,36,36,36,62,28,61,98,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,22571,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 18 IM. FRANCISZKA II RAKOCZEGO W ELBLĄGU,Elbląg,ul. Węgrowska 1,88,65,15,66,67,88,49,24,48,28,88,68,27,73,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,22611,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 19 Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. BOHATERÓW WESTERPLATTE W ELBLĄGU,Elbląg,ul. Urocza 4,69,53,20,56,56,69,49,26,44,24,69,74,29,89,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,22773,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 23 IM. MARII DĄBROWSKIEJ W ELBLĄGU,Elbląg,ul. Słoneczna 14,33,47,14,49,62,33,33,18,28,16,33,49,26,38,29,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,32093,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 25 IM. JANUSZA KUSOCIŃSKIEGO W ELBLĄGU,Elbląg,ul. Wyżynna 3,31,60,15,62,67,31,50,24,48,20,29,76,27,87,100,,,,,,,,,,,2,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,92124,nie dotyczy,Tak,OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA II ST. W ELBLĄGU,Elbląg,ul. Romualda Traugutta 91,35,64,15,64,62,35,54,26,56,32,36,79,26,93,96,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,104460,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA ZAKONU PIJARÓW,Elbląg,ul. Saperów 20,25,63,13,67,67,25,64,21,64,76,25,81,18,89,91,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,118954,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA STOWARZYSZENIA PRZYJACIÓŁ SZKÓŁ KATOLICKICH IM. ŚW. FRANCISZKA Z ASYŻU,Elbląg,ul. Saperów 14c,6,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,128867,dla młodzieży,Nie,SZKOŁA PODSTAWOWA MONTESSORI ELBLĄG,Elbląg,ul. Przy Bramie Targowej 10,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
