,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
Łódzkie,Piotrków Trybunalski,Piotrków Trybunalski,Gmina miejska,1062011,56733,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 10 IM. MIKOŁAJA REJA W PIOTRKOWIE TRYBUNALSKIM,Piotrków Trybunalski,ul. Adama Próchnika 8/12,27,43,19,44,42,27,36,24,28,16,25,47,29,36,16,,,,,,,,,,,3,,,,,,,,,,,,,,
Łódzkie,Piotrków Trybunalski,Piotrków Trybunalski,Gmina miejska,1062011,60665,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 5 Z ODDZIAŁAMI INTEGRACYJNYMI IM. ANDRZEJA FRYCZA MODRZEWSKIEGO W PIOTRKOWIE TRYBUNALSKIM,Piotrków Trybunalski,ul. Jerozolimska 73,44,61,22,66,29,44,55,28,52,16,44,59,31,54,100,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Piotrków Trybunalski,Piotrków Trybunalski,Gmina miejska,1062011,60683,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 2 IM. KRZYSZTOFA KAMILA BACZYŃSKIEGO W PIOTRKOWIE TRYBUNALSKIM,Piotrków Trybunalski,ul. Kostromska 50,69,59,18,62,62,69,44,22,44,24,73,71,26,76,98,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Piotrków Trybunalski,Piotrków Trybunalski,Gmina miejska,1062011,64059,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 3 IM. SZARYCH SZEREGÓW W PIOTRKOWIE TRYBUNALSKIM,Piotrków Trybunalski,ul. Wysoka 28/38,69,58,16,58,58,69,53,25,52,76,69,69,28,85,93,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Piotrków Trybunalski,Piotrków Trybunalski,Gmina miejska,1062011,64959,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 11 IM. HENRYKA SIENKIEWICZA W PIOTRKOWIE TRYBUNALSKIM,Piotrków Trybunalski,ul. Kazimierza Szmidta 3,54,68,14,69,69,54,59,21,60,32,54,70,26,78,96,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Piotrków Trybunalski,Piotrków Trybunalski,Gmina miejska,1062011,66236,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 16 IM. POLSKICH OLIMPIJCZYKÓW W PIOTRKOWIE TRYBUNALSKIM,Piotrków Trybunalski,ul. Krakowskie Przedmieście 11,86,63,15,63,62,86,49,25,44,16,75,78,24,89,100,,,,,,,,,,,11,33,11,36,22,,,,,,,,,,
Łódzkie,Piotrków Trybunalski,Piotrków Trybunalski,Gmina miejska,1062011,66259,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 8 IM. EMILII PLATER W PIOTRKOWIE TRYBUNALSKIM,Piotrków Trybunalski,ul. Henryka Sienkiewicza 8,32,62,12,62,76,32,35,22,28,20,32,66,29,75,98,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Piotrków Trybunalski,Piotrków Trybunalski,Gmina miejska,1062011,70258,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 13 IM. TRYBUNAŁU KORONNEGO W PIOTRKOWIE TRYBUNALSKIM,Piotrków Trybunalski,ul. Romana Dmowskiego 11,58,55,16,57,73,58,42,22,38,36,58,65,28,70,100,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Piotrków Trybunalski,Piotrków Trybunalski,Gmina miejska,1062011,75943,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 12 IM. KORNELA MAKUSZYŃSKIEGO W PIOTRKOWIE TRYBUNALSKIM,Piotrków Trybunalski,ul. Belzacka 104,126,65,16,67,71,126,60,29,64,96,127,74,28,87,100,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Piotrków Trybunalski,Piotrków Trybunalski,Gmina miejska,1062011,89815,dla młodzieży,Nie,PRYWATNA SZKOŁA PODSTAWOWA IM. RAFAŁA ORLEWSKIEGO W PIOTRKOWIE TRYBUNALSKIM,Piotrków Trybunalski,ul. Romana Dmowskiego 38d,11,65,12,67,67,11,76,28,88,96,10,87,15,95,98,,,,,,,,,,,1,,,,,,,,,,,,,,
Łódzkie,Piotrków Trybunalski,Piotrków Trybunalski,Gmina miejska,1062011,106867,dla młodzieży,Nie,KATOLICKA SZKOŁA PODSTAWOWA IM. ŚW. JANA BOSKO W PIOTRKOWIE TRYBUNALSKIM,Piotrków Trybunalski,al. Armii Krajowej 19,16,71,12,71,67,16,59,20,58,36,16,81,20,87,75,,,,,,,,,,,1,,,,,,,,,,,,,,
Łódzkie,Piotrków Trybunalski,Piotrków Trybunalski,Gmina miejska,1062011,132272,dla młodzieży,Nie,"PRYWATNA SZKOŁA PODSTAWOWA ""VILLA BAMBINI"" W PIOTRKOWIE TRYBUNALSKIM",Piotrków Trybunalski,ul. Pijarska 7,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Piotrków Trybunalski,Piotrków Trybunalski,Gmina miejska,1062011,262535,dla młodzieży,Nie,PRYWATNA JĘZYKOWA SZKOŁA PODSTAWOWA W PIOTRKOWIE TRYBUNALSKIM,Piotrków Trybunalski,ul. 1 Maja 18A,9,,,,,9,,,,,8,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Łódzkie,Piotrków Trybunalski,Piotrków Trybunalski,Gmina miejska,1062011,262899,dla dorosłych,Nie,"ZAOCZNA SZKOŁA PODSTAWOWA DLA DOROSŁYCH ""A-Z"" W PIOTRKOWIE TRYBUNALSKIM",Piotrków Trybunalski,ul. Marii Curie-Skłodowskiej 12,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Piotrków Trybunalski,Piotrków Trybunalski,Gmina miejska,1062011,263212,dla młodzieży,Nie,SZKOŁA PODSTAWOWA ZAKŁADU DOSKONALENIA ZAWODOWEGO W ŁODZI Z SIEDZIBĄ W PIOTRKOWIE TRYBUNALSKIM,Piotrków Trybunalski,ul. Józefa Pawlikowskiego 5,12,19,8,16,16,12,18,8,18,12,11,27,23,20,15,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Skierniewice,Skierniewice,Gmina miejska,1063011,79079,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 1 IM. HENRYKA SIENKIEWICZA W SKIERNIEWICACH,Skierniewice,ul. Henryka Sienkiewicza 14,17,49,10,49,47,17,30,21,20,20,17,57,27,58,22,,,,,,,,,,,,,,,,1,,,,,,,,,
Łódzkie,Skierniewice,Skierniewice,Gmina miejska,1063011,79080,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 2 IM. TADEUSZA KOŚCIUSZKI W SKIERNIEWCACH,Skierniewice,ul. 1 Maja 15,87,53,22,58,62,87,45,28,36,16,85,62,33,71,98,,,,,,,,,,,,,,,,2,,,,,,,,,
Łódzkie,Skierniewice,Skierniewice,Gmina miejska,1063011,79081,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 IM. MARII SKŁODOWSKIEJ-CURIE W SKIERNIEWICACH,Skierniewice,ul. Jasna 30,97,67,17,69,69,97,51,28,52,16,97,74,26,84,98,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Skierniewice,Skierniewice,Gmina miejska,1063011,79083,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 7 IM. KORNELA MAKUSZYŃSKIEGO W SKIERNIEWICACH,Skierniewice,ul. św. Maksymiliana Kolbe 30,22,53,13,57,60,22,43,21,38,36,22,61,25,69,75,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Skierniewice,Skierniewice,Gmina miejska,1063011,81549,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 5 IM. JANA PAWŁA II W SKIERNIEWICACH,Skierniewice,ul. Marii Konopnickiej 5,99,62,16,62,53,99,61,28,64,92,98,79,25,91,100,,,,,,,,,,,1,,,,,1,,,,,,,,,
Łódzkie,Skierniewice,Skierniewice,Gmina miejska,1063011,81553,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 9 IM. MARII GRZEGORZEWSKIEJ W SKIERNIEWICACH,Skierniewice,ul. Kazimierza Przerwy-Tetmajera 7,95,61,16,64,69,95,53,25,52,68,95,76,25,87,98,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Skierniewice,Skierniewice,Gmina miejska,1063011,85915,dla młodzieży,Nie,SZKOŁA PODSTAWOWA IM. KS. STANISŁAWA KONARSKIEGO W SKIERNIEWICACH,Skierniewice,ul. ks. kard. Prymasa Stefana Wyszyńskiego 12,36,70,10,69,62,36,77,18,82,84,36,92,10,96,100,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Skierniewice,Skierniewice,Gmina miejska,1063011,118727,dla młodzieży,Nie,"NIEPUBLICZNA SZKOŁA PODSTAWOWA ""ŹRÓDŁA"" IM. ŚW. STANISŁAWA KOSTKI W SKIERNIEWICACH",Skierniewice,al. Niepodległości 4,10,73,13,75,89,10,71,28,82,96,10,88,18,99,100,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Skierniewice,Skierniewice,Gmina miejska,1063011,127603,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA NOVUM W SKIERNIEWICACH,Skierniewice,ul. Melchiora Wańkowicza 9,11,42,16,42,16,11,20,10,24,24,11,43,31,27,16,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Bełchatów,Gmina miejska,1001011,40095,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 8 IM. JANA BRZECHWY Z ODDZIAŁAMI INTEGRACYJNYMI,Bełchatów,os. osiedle Dolnośląskie 112a,68,51,17,53,56,68,43,22,40,24,68,66,29,68,98,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Bełchatów,Gmina miejska,1001011,43849,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 1 IM. STANISŁAWA JACHOWICZA Z ODDZIAŁAMI INTEGRACYJNYMI,Bełchatów,ul.  Dąbrowskiego 11,81,63,18,64,62,81,47,28,44,16,80,75,26,87,95,,,,,,,,,,,1,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Bełchatów,Gmina miejska,1001011,43850,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 IM. STEFANA ŻEROMSKIEGO,Bełchatów,ul. Lipowa 11,35,54,14,53,51,35,44,27,36,24,35,62,31,62,98,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Bełchatów,Gmina miejska,1001011,43851,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 3 IM. ŻOŁNIERZY POW,Bełchatów,ul.  Sienkiewicza 25,76,54,16,56,51,76,45,24,40,32,78,66,27,71,98,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Bełchatów,Gmina miejska,1001011,43853,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 5 IM. ŻOŁNIERZY WOJSKA POLSKIEGO,Bełchatów,ul. Szkolna 10,24,54,16,51,47,24,44,24,38,20,24,67,28,75,33,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Bełchatów,Gmina miejska,1001011,43854,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 12 IM. KORNELA MAKUSZYŃSKIEGO,Bełchatów,ul. Witolda Budryka 7,62,58,19,60,60,62,45,26,42,28,62,72,27,79,98,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Bełchatów,Gmina miejska,1001011,43855,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 13 IM. UNICEF Z ODDZIAŁAMI INTEGRACYJNYMI,Bełchatów,ul. Juliusza Słowackiego 8,74,53,20,56,62,74,41,24,36,20,68,69,28,78,100,,,,,,,,,,,6,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Bełchatów,Gmina miejska,1001011,46583,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 9 IM. ALINY I CZESŁAWA CENTKIEWICZÓW,Bełchatów,os. osiedle Dolnośląskie 204A,74,60,16,62,64,74,51,24,50,24,75,63,27,64,47,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Bełchatów,Gmina wiejska,1001022,84226,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. MARII KOWNACKIEJ W DOMIECHOWICACH,Domiechowice,80,18,57,12,61,49,18,48,21,46,44,18,61,26,67,73,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Bełchatów,Gmina wiejska,1001022,85810,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. GEN. JANUSZA GŁUCHOWSKIEGO W DOBIECINIE,Korczew,37,12,53,12,52,47,12,37,18,32,20,12,47,26,37,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Bełchatów,Gmina wiejska,1001022,85811,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM.ALFONSA BRANDTA W KURNOSIE DRUGIM,Kurnos Drugi,175,14,53,16,53,53,14,39,22,38,16,14,65,26,75,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Bełchatów,Gmina wiejska,1001022,85842,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JANA BRZECHWY W DOBRZELOWIE,Dobrzelów,7,16,49,20,51,51,16,45,29,44,12,15,61,36,82,18,,,,,,,,,,,1,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Bełchatów,Gmina wiejska,1001022,85843,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. WŁADYSŁAWA SZAFERA W JANOWIE,Janów,1,10,61,17,66,69,10,46,28,36,36,10,54,28,51,20,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Bełchatów,Gmina wiejska,1001022,85844,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM.KOMISJI EDUKACJI NARODOWEJ W ŁĘKAWIE,Łękawa,4,14,68,15,75,71,14,52,18,54,44,14,67,22,68,84,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Bełchatów,Gmina wiejska,1001022,262660,dla młodzieży,Tak,SZKOŁA PODSTAWOWA SPECJALNA W ŁĘKAWIE,Łękawa,9,14,36,25,28,9,14,19,8,16,12,12,38,26,24,20,,,,,,,,,,,2,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Drużbice,Gmina wiejska,1001032,60839,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W WADLEWIE,Wadlew,pl. ks. Jarosława Burskiego 55,17,48,17,47,27,17,41,21,32,28,17,53,26,44,33,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Drużbice,Gmina wiejska,1001032,80003,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM.TADEUSZA KOŚCIUSZKI W DRUŻBICACH,Drużbice,15,19,62,16,67,73,19,43,18,44,44,19,65,26,73,29,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Drużbice,Gmina wiejska,1001032,262248,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IMIENIA HENRYKA SIENKIEWICZA W RASACH,Rasy,27,8,,,,,8,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Kleszczów,Gmina wiejska,1001042,17149,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM JANUSZA KORCZAKA W KLESZCZOWIE,Kleszczów,ul. Szkolna 4,61,67,14,69,76,61,62,26,64,92,61,81,24,93,100,,,,,,,,,,,,,,,,,,,,,,,,,
