,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,3212,dla młodzieży,Nie,ANGLOJĘZYCZNA SZKOŁA PODSTAWOWA OXFORD PRIMARY SCHOOL,Bielsko-Biała,ul. Krakowska 30,23,75,10,76,73,23,74,18,76,64,24,97,6,98,100,,,,,,1,,,,,1,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,23416,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 23 IM. JÓZEFA DROŻDŻA W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Karpacka 150,27,66,10,69,60,27,66,26,72,72,27,88,16,96,100,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,23419,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 18 IM. CYPRIANA KAMILA NORWIDA W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Cypriana Kamila Norwida 30,28,58,19,56,53,28,49,24,46,24,28,70,26,79,40,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,23696,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 1 IM. BOHATERÓW WESTERPLATTE W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Dywizji Kościuszkowskiej 2,65,64,17,64,64,65,45,25,44,48,67,72,28,89,95,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,23697,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 3 IM. MACIERZY SZKOLNEJ W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Antoniego Osuchowskiego 8,67,66,15,69,80,67,58,24,60,28,69,69,25,71,100,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,23698,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Emilii Plater 3,29,57,16,58,33,29,33,20,28,28,27,47,26,38,18,,,,,,,,,,,1,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,23699,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 6 INTEGRACYJNA IM. KAZIMIERZA BRODZIŃSKIEGO W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Kazimierza Brodzińskiego 3,46,67,14,71,76,46,54,26,52,44,46,79,23,86,85,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,23701,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 9 IM. TADEUSZA KOŚCIUSZKI W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Józefa Piłsudskiego 47,43,64,17,64,82,43,48,25,48,48,50,68,27,77,91,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,23702,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 13 IM. WŁADYSŁAWA JAGIEŁŁY W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Lipnicka 226,68,68,12,69,76,68,61,25,64,64,68,75,23,84,98,,,,,,,,,,,,,,,,,,,,,,,,,
